...1,spotify_id,youtube_id,project_name,artist,project_type,tracks,year,rating,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,explicit
1117,39yAlNzbQD6MAvveqeY3IP,raY3t5Ukt4k,the water[s],mick jenkins,album,15,2014,8,0.25980000000000003,0.6188666666666667,0.6792,2.6549333333333333e-5,0.20621333333333333,-7.989,0.29554,0.42598,108.72106666666667,1
1118,0YAtJCLY8ogFUjdopdHsyS,M6eB1cUUQds,el pintor,interpol,album,10,2014,6,5.31597e-4,0.3805,0.8573,0.57665,0.35525,-5.5167,0.059340000000000004,0.3899,118.4817,0.2
1119,62RDt42wD8VdrhfHG6IzpC,36W_fuo6k4s,burn your fire for no witness,angel olsen,album,16,2014,5,0.48886991812499997,0.43143750000000003,0.34783125,0.04120543125,0.11115625,-12.34,0.04644375,0.25263125,124.3920625,0
1120,27SFWD5ME13mJJWjgP71e4,IUd5YFoXCl8,rave tapes,mogwai,album,10,2014,6,0.08474283,0.4343,0.4765,0.8042,0.12799,-11.9936,0.034140000000000004,0.25185,127.4433,0
1121,4PishS8bjccWUr4CVrosmb,D5GI7_pGOJ0,dead,young fathers,album,11,2014,6,0.3776481818181818,0.5129090909090909,0.7256363636363636,0.016326951818181817,0.2752727272727273,-4.904909090909091,0.12925454545454546,0.23497272727272728,111.43590909090909,0
1122,5m0NdXjQm038wphE4VSTPU,_7Rfp95Jcw8,the rooms of the house,la dispute,album,11,2014,7,0.14233545454545454,0.5392727272727272,0.7015454545454546,0.26201454545454544,0.18497272727272726,-8.535545454545455,0.045681818181818185,0.5345454545454545,132.08654545454544,0
1123,22Bf8oXSCNAhgERc2Dc3OS,mM3eEJeQih8,help,zelooperz,mixtape,17,2014,6,0.22223623529411765,0.7120588235294117,0.7064117647058823,0.0034422235294117648,0.19569411764705882,-5.812352941176471,0.3455764705882353,0.4939882352941177,133.65782352941176,1
1124,4E8q20fmm8onDCc7NK217d,sVZ5oiYKc5g,iii,badbadnotgood,album,9,2014,7,0.1920111111111111,0.40888888888888886,0.6974444444444444,0.864,0.11704444444444445,-7.571777777777778,0.048322222222222225,0.23934444444444444,142.65044444444445,0
1125,7t2G7ba8kNZV9a4GDVBeva,pd8EVQgm_DQ,lese majesty,shabazz palaces,album,18,2014,5,0.2713088888888889,0.5555,0.4850555555555556,0.18206134277777777,0.26208888888888887,-13.003833333333333,0.2045611111111111,0.38077777777777777,111.00827777777778,0.4444444444444444
1126,4mbQAXtP8Kuhq04oriFyYy,dXDCTqOPNqs,here and nowhere else,cloud nothings,album,8,2014,6,0.0164702,0.270875,0.96675,0.477664125,0.1273375,-5.3568750000000005,0.1040375,0.1738875,93.233875,0
1127,152CETYdkMTfchUyFtCDZu,Oycn5qvjymU,self-titled,nehruviandoom,album,9,2014,5,0.2975777777777778,0.5432222222222223,0.5971111111111111,0.004361333333333333,0.341,-9.830444444444444,0.29,0.6876666666666666,101.68144444444444,0
1128,1eeYYgK208xvkCEGkYqWah,ynbx6v23iyQ,goddess,banks,album,18,2014,5,0.44192444444444445,0.5186666666666667,0.47305555555555556,0.080302315,0.1681777777777778,-9.443166666666666,0.0613,0.3009,117.56938888888888,0.2222222222222222
1129,5MXzHNdSR1vvJp9RONC5YF,3SA8qhEpSTg,xen,arca,album,17,2015,6,0.3572935294117647,0.45076470588235296,0.47868235294117645,0.5618932252941177,0.14455294117647058,-10.294411764705883,0.14645882352941178,0.2526058823529412,97.47023529411764,0
1130,6QLvKr5uNyu6fwFXroL8oE,QZkHxln2jQw,sunbathing animal,parquet courts,album,14,2014,4,0.39276285714285714,0.5144285714285715,0.7337142857142857,0.3817101807142857,0.2680142857142857,-6.2282142857142855,0.08189285714285714,0.596,122.022,0
